id,titulo_higienizado,descricao_higienizada,texto_final_higienizado,categoria,prioridade
99,nao consegue acessar banco de dados,o cliente reporta que esta tendo problemas ao tentar conectar se aos seus bancos de dados remotos para trabalhar em um projeto sempre conseguia ate agora mas recentemente comecou a receber erros,nao consegue acessar banco de dados o cliente reporta que esta tendo problemas ao tentar conectar se aos seus bancos de dados remotos para trabalhar em um projeto sempre conseguia ate agora mas recentemente comecou a receber erros,Acesso,Baixa
100,painel de controle desligado,o painel de controle do predio nao respondeu ao reset e esta inoperante afetando a gestao das operacoes diarias,painel de controle desligado o painel de controle do predio nao respondeu ao reset e esta inoperante afetando a gestao das operacoes diarias,Infraestrutura,Media
101,problemas de conexao wi fi,funcionario relata ter dificuldade ao se conectar a rede sem fio tentativas anteriores foram infrutiferas e a resolucao imediata e necessaria para continuidade do trabalho,problemas de conexao wi fi funcionario relata ter dificuldade ao se conectar a rede sem fio tentativas anteriores foram infrutiferas e a resolucao imediata e necessaria para continuidade do trabalho,Acesso,Baixa
102,conexao wi fi instavel,fico conectado e desconectando constantemente do meu roteador sem aviso causando interrupcoes frequentes na internet,conexao wi fi instavel fico conectado e desconectando constantemente do meu roteador sem aviso causando interrupcoes frequentes na internet,Comunicação,Alta
103,tela muda,a tela do computador fica sem nenhum sinal atraves da manutencao verifiquei se a conexao lcd esta segura e bem presa,tela muda a tela do computador fica sem nenhum sinal atraves da manutencao verifiquei se a conexao lcd esta segura e bem presa,Hardware,Baixa
104,som ausente no laptop,o som de saida do notebook esta mudo isso comecou recentemente e nao ha nenhum aviso na tela,som ausente no laptop o som de saida do notebook esta mudo isso comecou recentemente e nao ha nenhum aviso na tela,Hardware,Baixa
105,ponto de acesso saturado,durante o horario comercial vimos um aumento na velocidade de conexao lenta no ponto de acesso os clientes estao relatando problemas ao iniciar aplicativos web e trocar mensagens instantaneas,ponto de acesso saturado durante o horario comercial vimos um aumento na velocidade de conexao lenta no ponto de acesso os clientes estao relatando problemas ao iniciar aplicativos web e trocar mensagens instantaneas,Infraestrutura,Baixa
106,consulta lenta,a consulta no banco e mais lenta do que o esperado levando cerca de 15 minutos para ser concluida o cliente precisa deste relatorio diariamente e esta preocupado com a possivel incapacidade de atender essas necessidades,consulta lenta a consulta no banco e mais lenta do que o esperado levando cerca de 15 minutos para ser concluida o cliente precisa deste relatorio diariamente e esta preocupado com a possivel incapacidade de atender essas necessidades,Banco de Dados,Baixa
107,dispositivo bluetooth desconectado,o meu telefone nao esta reconhecendo o aparelho de bluetooth apos a ultima atualizacao estou tentando conecta los varias vezes mas sem sucesso,dispositivo bluetooth desconectado o meu telefone nao esta reconhecendo o aparelho de bluetooth apos a ultima atualizacao estou tentando conecta los varias vezes mas sem sucesso,Hardware,Baixa
108,ajustar configuracoes do roteador,preciso de ajuda para configurar o roteador da internet corretamente pois os clientes estao enfrentando problemas intermitentes com a conexao,ajustar configuracoes do roteador preciso de ajuda para configurar o roteador da internet corretamente pois os clientes estao enfrentando problemas intermitentes com a conexao,Rede,Media
109,retencao de sinal erratica,somente na casa do meu filho o wi fi desliga e recomeca aleatoriamente isso acontece frequentemente durante as tardes,retencao de sinal erratica somente na casa do meu filho o wi fi desliga e recomeca aleatoriamente isso acontece frequentemente durante as tardes,Rede,Media
110,painel de controle online nao responde,o painel web da nossa empresa usado diariamente pelos funcionarios para monitorar o status dos equipamentos esta atualmente inacessivel sempre antes havia acesso rapido e sem problemas,painel de controle online nao responde o painel web da nossa empresa usado diariamente pelos funcionarios para monitorar o status dos equipamentos esta atualmente inacessivel sempre antes havia acesso rapido e sem problemas,Infraestrutura,Media
111,acesso restrito,o usuario precisa confirmar sua conta e nao consegue encontrar o link de recuperacao na caixa postal,acesso restrito o usuario precisa confirmar sua conta e nao consegue encontrar o link de recuperacao na caixa postal,Acesso,Baixa
112,sincronizacao da agenda,preciso sincronizar minha calendario no outlook com o google calendar ajustar eventos automaticamente seria de grande ajuda,sincronizacao da agenda preciso sincronizar minha calendario no outlook com o google calendar ajustar eventos automaticamente seria de grande ajuda,Comunicação,Baixa
113,problemas de conexao,funcionarios relatam falha no login do sistema tentativas repetidas sem sucesso necessitando intervencao imediata,problemas de conexao funcionarios relatam falha no login do sistema tentativas repetidas sem sucesso necessitando intervencao imediata,Acesso,Alta
114,som ausente,o som de alta qualidade esperado no computador nao esta funcionando testei o hardware externo e estava claramente audivel,som ausente o som de alta qualidade esperado no computador nao esta funcionando testei o hardware externo e estava claramente audivel,Hardware,Baixa
115,problemas no login,cliente relatou ter dificuldade de entrar na conta corporativa devido a senha errada e pediu assistencia para recuperacao da senha,problemas no login cliente relatou ter dificuldade de entrar na conta corporativa devido a senha errada e pediu assistencia para recuperacao da senha,Acesso,Media
116,aplicativo mobile trava,meu aplicativo favorito de jogos parou de funcionar apos atualizacao agradeco ajuda para solucionar,aplicativo mobile trava meu aplicativo favorito de jogos parou de funcionar apos atualizacao agradeco ajuda para solucionar,Comunicação,Media
117,ruido de audio durante conferencias,durante as minhas videochamadas ha um ruido constante que interfere no som ate agora tentei desligar e ligar o microfone sem sucesso,ruido de audio durante conferencias durante as minhas videochamadas ha um ruido constante que interfere no som ate agora tentei desligar e ligar o microfone sem sucesso,Rede,Baixa
118,suspeita de intruso na rede,um funcionario relata que viu uma pessoa estranha utilizando seu computador o usuario nao reconhece a conta e esta preocupado com possiveis atividades ilegais,suspeita de intruso na rede um funcionario relata que viu uma pessoa estranha utilizando seu computador o usuario nao reconhece a conta e esta preocupado com possiveis atividades ilegais,Acesso,Baixa
119,problema com mensagem perdida,depois de enviar uma ligacao importante percebi que nao esta recebendo confirmacao preciso garantir que a comunicacao foi bem sucedida,problema com mensagem perdida depois de enviar uma ligacao importante percebi que nao esta recebendo confirmacao preciso garantir que a comunicacao foi bem sucedida,Comunicação,Media
120,nao consegue conectar ao wi fi,o cliente informa que nao conseguiu se conectar a internet na rede sem fio da empresa acredita ter inserido as credenciais corretas mas continua em desconexao,nao consegue conectar ao wi fi o cliente informa que nao conseguiu se conectar a internet na rede sem fio da empresa acredita ter inserido as credenciais corretas mas continua em desconexao,Acesso,Baixa
121,falha de energia,o sistema central esta fora do ar a rede eletrica e o backup nao estao operacionais afetando todas as instalacoes,falha de energia o sistema central esta fora do ar a rede eletrica e o backup nao estao operacionais afetando todas as instalacoes,Infraestrutura,Alta
122,rede domestica instavel,a rede wi fi no meu local de trabalho esta apresentando problemas intermitentes onde os sinais caem constantemente isso prejudica a conexao ao servidor remoto e afeta negativamente o fluxo do meu trabalho diario,rede domestica instavel a rede wi fi no meu local de trabalho esta apresentando problemas intermitentes onde os sinais caem constantemente isso prejudica a conexao ao servidor remoto e afeta negativamente o fluxo do meu trabalho diario,Rede,Alta
123,incapacidade de visualizar painel do sistema,o usuario relata ter problemas ao tentar abrir o navegador e acesse os graficos da interface mas nao recebe nenhum erro especifico,incapacidade de visualizar painel do sistema o usuario relata ter problemas ao tentar abrir o navegador e acesse os graficos da interface mas nao recebe nenhum erro especifico,Acesso,Baixa
124,servico de network,ocorreu travamento total do servidor principal impedindo o acesso ao banco de dados atendimento imediato necessario para evitar interrupcoes no negocio,servico de network ocorreu travamento total do servidor principal impedindo o acesso ao banco de dados atendimento imediato necessario para evitar interrupcoes no negocio,Infraestrutura,Alta
125,monitor trava,o monitor do computador nao esta exibindo imagem apesar de estar ligado e funcionando corretamente a tela permanece em branco,monitor trava o monitor do computador nao esta exibindo imagem apesar de estar ligado e funcionando corretamente a tela permanece em branco,Hardware,Media
126,problema de conexao wi fi,sempre que tento fazer uma ligacao voip ocorre interrupcao frequente na rede,problema de conexao wi fi sempre que tento fazer uma ligacao voip ocorre interrupcao frequente na rede,Comunicação,Baixa
127,conectividade intermitente,o cliente tem dificuldade frequente de manter uma conexao constante ao usar o servico wi fi na casa causando atrasos em trabalhos online,conectividade intermitente o cliente tem dificuldade frequente de manter uma conexao constante ao usar o servico wi fi na casa causando atrasos em trabalhos online,Rede,Media
